max_flow,dfs vertices,dfs edges,dfs time (ms),bfs vertices,bfs edges,bfs time (ms),fat vertices,fat edges,fat time (ms)
884579,247361136,68213046,14141756000,299999363,8835813,47804467800,5901837321,2586209081,36419854900
884579,247361136,68213046,12642191700,299999363,8835813,47149886200,5901837321,2586209081,37417898000
884579,247361136,68213046,12622353300,299999363,8835813,46936177300,5901837321,2586209081,36050316300
4238238,769276434,307989529,61723541900,346463884,119304700,587879239200,169600861499,84786949259,1206026444100
21371219,1573513147,595445677,104740838200,379019352,131951013,643569192000,287188413451,143664823553,1864158177100
38500883,2649299411,965603441,133820196800,434588171,151590828,734682090400,291138798420,145604671932,2324573287700
55630547,3744217187,1327282150,155668947600,479805465,167478768,809338556600,299174818336,149613735558,2462148668700
72760211,5051355410,1745327525,168736713000,514298964,179574813,866963574700,302065488837,151059574677,2486199062100
89889875,6178540749,2095552133,193033551700,539308337,188289168,904666621400,304911788860,152482567716,2502582979600
107019539,7484608169,2487506935,209815980200,561110575,195892968,941423506700,307587688477,153822675202,2519647187200
4238238,769276434,307989529,57463226100,346463884,119304700,581839694400,169600861499,84786949259,1203838120000
124149203,8682051828,2838503864,231936909000,577646823,201665853,967437714900,310039711169,155049295099,2530839795500
141278867,10031796253,3242209283,257775565800,589483315,205757898,984697399000,312704740485,156382973047,2545182324800
149843699,10564584726,3400347747,268197516100,593563306,207198618,990603031300,314334924913,157197745907,2554342304900
158408531,15344032993,4585540578,279147793700,599209911,209179608,1002466297700,437542859918,218756975758,2861084354600
21371219,1573513147,595445677,96334989400,379019352,131951013,645790048500,287188413451,143664823553,1832368515200
4238238,769276434,307989529,55808289900,346463884,119304700,571679740600,169600861499,84786949259,1209115076500
38500883,2649299411,965603441,122554085800,434588171,151590828,737021640000,291138798420,145604671932,2296932151500
55630547,3744217187,1327282150,148051002800,479805465,167478768,802492139300,299174818336,149613735558,2438718883300
72760211,5051355410,1745327525,155739677800,514298964,179574813,861904686200,302065488837,151059574677,2459993703700
89889875,6178540749,2095552133,175039604000,539308337,188289168,905244030700,304911788860,152482567716,2478746127500
107019539,7484608169,2487506935,193144535700,561110575,195892968,940622944200,307587688477,153822675202,2487849691700
124149203,8682051828,2838503864,212832198200,577646823,201665853,970127124700,310039711169,155049295099,2500280904800
141278867,10031796253,3242209283,233002526100,589483315,205757898,991033608400,312704740485,156382973047,2512963525500
149843699,10564584726,3400347747,244398430200,593563306,207198618,998481682300,314334924913,157197745907,2524139732600
